"match_id","team_id","shots","shots_on_target","possession_percentage","accurate_passes","offsides","yellow_cards","red_cards","fouls","corners"
1,1,12,2,54,580,1,1,0,11,5
1,2,18,5,46,501,4,1,0,9,4
2,1,31,11,76,705,3,2,0,7,13
2,3,4,3,24,237,2,4,0,12,0
3,1,23,10,58,725,1,0,0,2,6
3,4,7,4,42,528,2,1,0,7,4
4,1,13,6,55,640,0,2,0,10,4
4,4,13,5,45,548,1,1,0,15,1
5,1,17,8,70,737,1,1,0,12,5
5,3,12,5,30,302,2,1,0,11,3
6,1,15,5,51,564,0,1,0,5,5
6,2,17,3,49,538,0,2,1,10,7
7,1,3,0,42,510,0,4,0,12,1
7,5,21,8,58,677,1,4,0,14,7
8,1,21,7,44,448,2,4,0,12,5
8,5,10,4,56,590,2,4,0,9,2
9,1,8,5,42,466,1,1,0,6,5
9,6,20,5,58,611,0,1,0,14,2
10,1,10,4,43,581,0,4,0,17,1
10,6,28,7,57,746,1,4,0,20,10
11,7,16,6,60,613,3,1,0,11,5
11,1,11,5,40,416,2,1,0,5,3
12,1,14,5,44,532,3,4,0,14,3
12,7,15,10,56,659,3,3,0,18,9
13,1,4,2,46,514,4,0,0,7,2
13,8,24,9,54,592,1,1,0,13,6
